SL NO,Hospital Name,ZONE,State,City,Address,Contact Person,Contact Number,Pincode,Area
1,21st Century Hospitals,WEST,Gujarat,Vapi,Natraj Complex Plot No.Cm-50 N.H.No.8mahavir Nagar Gidc Vapi 396195 Dist Valsad Gujarat,Mr. Prashant Kothari - Administrator,STD(0260) Tel: 2429350 2427281 Fax: 2434893,396195.0,Mahavir Nagar
2,3rd Eye The Vitreoretina Clinic And Eye Hospital,WEST,Gujarat,Ahmedabad,"201,Kadamb, nr.Rajvansh Tower, judges Bunglow Road, bodakdev, Ahmedabad, Dist: Ahmedabad, State: Gujarat-380054",0,0,380054.0,nr.Rajvansh Tower
3,4S Care Hospital,EAST,Orissa,Cuttack,"Jhola Sahi (Near Bimala Mandir), Buxi Bazar, Cuttack 753007 Dist Cuttack",Mr.C.R.Beura - Managing Dirctor,STD (0671) 2523454,753007.0,Buxi Bazar
4,7 Orange Hospital (Unit Of 7 Orange Healthcare Organization Llp),WEST,Maharashtra,Pune,"74 Pavana Nagar, Chinchwad, City: Pune, Dist: Pune, State: Maharashtra-411033",0,"STD(00 Tel;0, Fax:0, Mob: 8806500010",411033.0,Pavana Nagar
5,A 1 Hospital,SOUTH,Andhra Pradesh,Guntur,"D. No. 12-23-32, Anna Srinivasa Rao, Opp. R T C Bus Stand Road, Kothapet Guntur 522001 Dist Guntur Andhra Pradesh",Mr. K.Ram Prasad,STD (0863) 2254321,522001.0,Kothapet
6,A A Surgical Speciality Hospital,SOUTH,Tamil Nadu,Madurai,"38-D, IInd Cross, Ist East Main Road, (Opp:Cini Priya Theatre), North Anna Nagar, Madurai 625020 Dist Madurai Tamil Nadu",Dr.T.Chandra Prakasam - Director,"STD (0452) 4210605, 2521199 Fax:4500605",625020.0,Anna Nagar
7,A B Eye Institute,EAST,Bihar,Patna,"Rajendranagar Road, Road No 12, Near Bahadurpur Gumti, Patna 800016 Dist Patna Bihar",Dr Satyajit Sinha,STD (0612) Tel: 2670292 Fax: 2670293,800016.0,Near Bahadurpur Gumti
8,A J Hospital,SOUTH,Kerala,Thiruvananthapuram,Kazhakuttom Kazhakuttom 695582 Dist Thiruvananthapuram Kerala,Dr. M A Abdulkader - Managing Partner,STD(0471) Tel: 2418452 2417546 Fax: 2417546,695582.0,Kazhakuttam
9,A J Hospital & Research Center,SOUTH,Karnataka,Mangaluru,Nh 17 Kuntikkana Mangalore 575002 Dist Dakshin Kannada Karnataka,Dr. Prashanth Marla - Medical Director,STD(0824) Tel: 2225533 9845080879 Fax: 2225541,575002.0,Kuntikkana
10,A M Hospital,SOUTH,Kerala,Karunagapally,Near Head Post fice Karunagapally Karunagapally 690518 Dist Kollam Kerala,Dr.Fuadjaleel - Director,STD (0476) 2620277 3290262,690518.0,Near Head Post Office
11,A N N Hospital,SOUTH,Tamil Nadu,Chennai,"81/85, Annai Therasa Street, Indranagar, Valasaravakkam, Chennai 600087 Dist Chennai Tamil Nadu",Dr Chitra Sundara Rajan,"STD(044) Tel: 24869300,24869301,24869302 Fax:24869304 Mobile: 9841881442",600087.0,Valasaravakkam
12,A P Hospital,NORTH,Punjab,Amritsar,"AJIT NAGAR CHOWK, NEAR SUTLAN WIND WATER TANK, AMRITSAR",..,Std (0183) Tel: 2588450,143001.0,AJIT NAGAR CHOWK
13,A R Ortho Hospital,SOUTH,Tamil Nadu,Pollachi,"42/1, New Scheme Road, Pollachi Coimbatoretamil Nadu 642001",Dr M Arulraj,STD(04259) Tel: 220440 Mobile 9842232999 Fax: 232440,642001.0,New Scheme Road
14,A S Kidney Hospital And Stone Centre Pvt. Ltd,NORTH,Delhi,New Delhi,"1/46, VIJAY ENCLAVE, MAIN DABRI PALAM ROAD OPP. JINDAL PUBLIC SCHOOL, NEW DELHI DELHI 110045 North",Dr.Atul Agarwal - Director,STD(011) 45502262,110045.0,NASHIK
